State of the Academy 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. What class are you in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,2020,,2021,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,26.17%,273,0.67%,7,40.27%,420,32.89%,343,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q69. Have you ever used any tobacco products (e.g. dipping and chewing tobacco, cigarettes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on and off campus",,"Yes, on campus",,"Yes, off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,7.41%,34,0.87%,4,6.97%,32,84.75%,389,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",6.57%,13,0.00%,0,7.58%,15,85.86%,170,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",23.58%,91,1.30%,5,12.44%,48,62.69%,242,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,13.23%,138,0.86%,9,9.11%,95,76.80%,801,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q70. Have you ever "juuled" or used a similar e-cigarette/pod vape nicotine-based product?""70. Have you ever "juuled" or used a similar e-cigarette/pod vape nico""0. Have you ever "juuled" or used a similar e-cigar"". Have you ever "juuled" or used "" Have you ever """",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on and off campus",,"Yes, on campus",,"Yes, off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,16.56%,76,2.61%,12,10.02%,46,70.81%,325,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",11.11%,22,5.05%,10,8.59%,17,75.25%,149,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",39.90%,154,5.44%,21,12.69%,49,41.97%,162,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.16%,252,4.12%,43,10.74%,112,60.98%,636,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q71. Have you ever used marijuana?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on and off campus",,"Yes, on campus",,"Yes, off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,10.89%,50,1.31%,6,10.68%,49,77.12%,354,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",6.57%,13,1.01%,2,10.10%,20,82.32%,163,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",34.72%,134,3.63%,14,14.25%,55,47.41%,183,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,18.89%,197,2.11%,22,11.89%,124,67.11%,700,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q72. How often do you consume drugs or alcohol on campus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daily,,Weekly,,About once per month,,About once per term,,About once per year,,Never,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,1.31%,6,3.92%,18,5.01%,23,4.14%,19,6.97%,32,78.65%,361,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",2.02%,4,3.54%,7,2.53%,5,3.54%,7,6.06%,12,82.32%,163,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",6.99%,27,15.03%,58,11.92%,46,12.18%,47,5.18%,20,48.70%,188,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.55%,37,7.96%,83,7.09%,74,7.00%,73,6.14%,64,68.26%,712,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q73. Have you ever used hallucinogens or hard drugs? Check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cocaine,,DXM,,Heroin,,Ketamine,,LSD,,Mescaline peyote,,MDMA (Molly),,Psilocybin mushrooms,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,1.74%,8,0.65%,3,0.22%,1,0.44%,2,2.61%,12,0.22%,1,0.87%,4,1.53%,7,95.86%,440,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.54%,7,1.52%,3,1.01%,2,1.01%,2,2.02%,4,1.52%,3,2.02%,4,2.02%,4,96.46%,191,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",5.96%,23,2.85%,11,1.30%,5,1.30%,5,10.36%,40,0.78%,3,2.59%,10,2.85%,11,84.97%,328,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.64%,38,1.63%,17,0.77%,8,0.86%,9,5.37%,56,0.67%,7,1.73%,18,2.11%,22,91.95%,959,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q74. Have you ever used pharmaceutical drugs (i.e. "study drugs") in the hopes of enhancing academic performance at Andover?""74. Have you ever used pharmaceutical drugs (i.e. "study drugs") in the ""4. Have you ever used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, prescribed",,"Yes, unprescribed",,"Yes, both prescribed and unprescribed",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,2.83%,13,2.61%,12,1.09%,5,93.46%,429,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",4.04%,8,2.02%,4,2.53%,5,92.93%,184,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",6.74%,26,10.10%,39,2.59%,10,80.57%,311,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,4.51%,47,5.27%,55,1.92%,20,88.59%,924,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q75. Have you ever felt pressured by peers to consume drugs or alcohol?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,22.22%,102,77.78%,357,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",27.78%,55,72.22%,143,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",34.72%,134,65.28%,252,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,27.90%,291,72.10%,752,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q76. Have you ever sold someone drugs, alcohol, or your prescription medication?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on campus",,"Yes, off campus",,"Yes, both on and off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,1.53%,7,1.74%,8,0.65%,3,96.08%,441,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",1.01%,2,1.52%,3,1.52%,3,95.96%,190,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",5.70%,22,2.07%,8,6.99%,27,85.23%,329,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.97%,31,1.82%,19,3.16%,33,92.04%,960,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q77. Have you ever attended a school-sponsored event while under the influence of drugs or alcohol?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,12.64%,58,87.36%,401,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",11.11%,22,88.89%,176,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",37.82%,146,62.18%,240,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21.67%,226,78.33%,817,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q78. Have you ever used drugs or alcohol during the academic school day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,6.10%,28,93.90%,431,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",6.57%,13,93.43%,185,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",20.73%,80,79.27%,306,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,11.60%,121,88.40%,922,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q79. Have you ever purchased, or do you own, a fake ID?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,5.66%,26,94.34%,433,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",8.08%,16,91.92%,182,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",14.51%,56,85.49%,330,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,9.40%,98,90.60%,945,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q80. What was your rounded Winter 2017-2018 (unweighted) G.P.A.? (If you are between two numbers, round up to the next closest decimal — a 5.3 G.P.A. would round to a 5.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,,5.8,,5.6,,5.4,,5.2,,5.0,,4.8,,4.6,,4.4,,4.2,,4.0,,3.8,,3.6,,3.4,,3.2,,3.0,,2.8,,2.6,,2.4,,2.2,,2.0 or below,,Total,
Q103: Yes,5.23%,24,11.11%,51,18.74%,86,16.56%,76,12.64%,58,14.16%,65,9.37%,43,6.10%,28,2.61%,12,1.09%,5,0.65%,3,0.65%,3,0.22%,1,0.22%,1,0.44%,2,0.00%,0,0.22%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,44.01%,459
"Q103: No, discipline should be harsher",4.55%,9,9.60%,19,14.14%,28,17.17%,34,17.17%,34,14.65%,29,9.60%,19,5.05%,10,1.01%,2,2.02%,4,3.03%,6,0.00%,0,0.51%,1,0.00%,0,0.00%,0,1.01%,2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.51%,1,18.98%,198
"Q103: No, discipline should be more lenient",3.37%,13,8.29%,32,13.21%,51,12.95%,50,14.77%,57,15.80%,61,12.69%,49,6.22%,24,5.70%,22,3.63%,14,2.07%,8,0.52%,2,0.52%,2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.26%,1,37.01%,386
Total,4.41%,46,9.78%,102,15.82%,165,15.34%,160,14.29%,149,14.86%,155,10.64%,111,5.94%,62,3.45%,36,2.21%,23,1.63%,17,0.48%,5,0.38%,4,0.10%,1,0.19%,2,0.19%,2,0.10%,1,0.00%,0,0.00%,0,0.00%,0,0.19%,2,100.00%,1043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Answered,1043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q81. Do you think a "4" is a good grade?""81. Do you think a ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,21.57%,99,78.43%,360,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",17.68%,35,82.32%,163,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",22.54%,87,77.46%,299,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21.19%,221,78.81%,822,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q82. How many hours do you spend on coursework outside of class each day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 hours or more,,9 hours,,8 hours,,7 hours,,6 hours,,5 hours,,4 hours,,3 hours,,2 hours,,1 hour or less,,Total,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.22%,1,0.44%,2,1.74%,8,4.14%,19,11.76%,54,22.22%,102,32.46%,149,20.70%,95,5.23%,24,1.09%,5,44.01%,459,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",1.52%,3,0.00%,0,0.51%,1,4.55%,9,13.64%,27,23.23%,46,28.28%,56,21.21%,42,5.56%,11,1.52%,3,18.98%,198,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",1.81%,7,0.78%,3,0.78%,3,1.81%,7,8.81%,34,18.91%,73,23.06%,89,25.91%,100,11.40%,44,6.74%,26,37.01%,386,,,,,,,,,,,,,,,,,,,,,,
Total,1.05%,11,0.48%,5,1.15%,12,3.36%,35,11.03%,115,21.19%,221,28.19%,294,22.72%,237,7.57%,79,3.26%,34,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q83. Do you think that grading disparities exist between teachers of the same subject at Andover?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,98.47%,452,1.53%,7,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",99.49%,197,0.51%,1,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",98.70%,381,1.30%,5,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,98.75%,1030,1.25%,13,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q84. In which department is there the largest grading disparity between teachers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art,,English,,History and Social Science,,"Mathematics, Statistics, and Computer Science",,Music,,Natural Sciences,,Philosophy and Religious Studies,,Physical Education,,Psychology,,Theatre and Dance,,World Languages,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.70%,17,71.46%,328,11.55%,53,4.58%,21,0.00%,0,5.01%,23,0.44%,2,0.00%,0,0.00%,0,0.00%,0,1.31%,6,1.96%,9,44.01%,459,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",4.04%,8,72.73%,144,10.10%,20,3.03%,6,0.00%,0,4.55%,9,1.52%,3,0.00%,0,0.00%,0,1.01%,2,1.01%,2,2.02%,4,18.98%,198,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",1.55%,6,80.31%,310,6.74%,26,5.96%,23,0.26%,1,2.85%,11,0.00%,0,0.00%,0,0.00%,0,0.52%,2,0.52%,2,1.30%,5,37.01%,386,,,,,,,,,,,,,,,,,,
Total,2.97%,31,74.98%,782,9.49%,99,4.79%,50,0.10%,1,4.12%,43,0.48%,5,0.00%,0,0.00%,0,0.38%,4,0.96%,10,1.73%,18,100.00%,1043,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q85. Have you ever switched teachers within the same course in order to attain a better grade?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,26.80%,123,73.20%,336,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",30.81%,61,69.19%,137,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",36.79%,142,63.21%,244,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,31.26%,326,68.74%,717,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86. Do you think attending Andover affects your chances of attending a selective college?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, positively",,"Yes, negatively",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,55.56%,255,35.73%,164,8.71%,40,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",48.99%,97,46.46%,92,4.55%,9,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",46.37%,179,47.93%,185,5.70%,22,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,50.91%,531,42.28%,441,6.81%,71,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q87. Have you ever considered leaving Andover permanently?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,34.20%,157,65.80%,302,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",47.98%,95,52.02%,103,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",55.44%,214,44.56%,172,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,44.68%,466,55.32%,577,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q88. Do you think that the majority of your teachers care about your health and well-being?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,86.71%,398,13.29%,61,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",78.79%,156,21.21%,42,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",68.13%,263,31.87%,123,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,78.33%,817,21.67%,226,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q89. Do you participate in any extracurriculars because you think they will increase your chances of getting into a selective college?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, solely",,"Yes, partly",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.70%,17,65.80%,302,30.50%,140,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",8.59%,17,61.62%,122,29.80%,59,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",10.62%,41,64.51%,249,24.87%,96,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,7.19%,75,64.53%,673,28.28%,295,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q90. Would you want your children to attend Andover?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,80.61%,370,19.39%,89,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",67.68%,134,32.32%,64,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
